Path Length,States Explored,Total Time,Method,Maze File
55,860,0.015373945236206055,astar,./maps_full/p1/p_openMaze.txt
55,860,0.01342320442199707,bfs,./maps_full/p1/p_openMaze.txt
33,295,0.002214193344116211,astar,./maps_full/p1/p_mediumMaze.txt
33,295,0.0021636486053466797,bfs,./maps_full/p1/p_mediumMaze.txt
20,113,0.0011479854583740234,astar,./maps_full/p1/smallMaze.txt
20,113,0.0010287761688232422,bfs,./maps_full/p1/smallMaze.txt
69,342,0.003233194351196289,astar,./maps_full/p1/mediumMaze.txt
69,342,0.003036022186279297,bfs,./maps_full/p1/mediumMaze.txt
9,24,0.00036835670471191406,astar,./maps_full/p1/tinyMaze.txt
9,24,0.0003578662872314453,bfs,./maps_full/p1/tinyMaze.txt
17,121,0.0011932849884033203,astar,./maps_full/p1/p_smallMaze.txt
17,121,0.0011363029479980469,bfs,./maps_full/p1/p_smallMaze.txt
211,857,0.009496927261352539,astar,./maps_full/p1/bigMaze.txt
211,857,0.0093994140625,bfs,./maps_full/p1/bigMaze.txt
95,741,0.005112886428833008,astar,./maps_full/p1/p_bigMaze.txt
95,741,0.005115509033203125,bfs,./maps_full/p1/p_bigMaze.txt
7,24,0.00032019615173339844,astar,./maps_full/p1/p_tinyMaze.txt
7,24,0.00032711029052734375,bfs,./maps_full/p1/p_tinyMaze.txt
55,882,0.01231241226196289,astar,./maps_full/p1/openMaze.txt
55,882,0.011534929275512695,bfs,./maps_full/p1/openMaze.txt
193,4046,0.02864551544189453,astar_corner,./maps_full/p2/p_bigCorners.txt
29,140,0.001783132553100586,astar_corner,./maps_full/p2/tinyCorners.txt
112,983,0.009873151779174805,astar_corner,./maps_full/p2/p_mediumCorners.txt
107,972,0.009669303894042969,astar_corner,./maps_full/p2/mediumCorners.txt
163,2887,0.017643213272094727,astar_corner,./maps_full/p2/bigCorners.txt
27,130,0.0013551712036132812,astar_corner,./maps_full/p2/p_tinyCorners.txt
39,794,0.020415067672729492,astar_multi,./maps_full/p3/p_small.txt
35,736,0.014407873153686523,astar_multi,./maps_full/p3/smallSearch.txt
79,8268,0.057801246643066406,astar_multi,./maps_full/p3/p_medium_dot.txt
185,10633,0.34156131744384766,astar_multi,./maps_full/p3/p_medium.txt
17,238,0.004064798355102539,astar_multi,./maps_full/p3/greedySearch.txt
28,346,0.008491992950439453,astar_multi,./maps_full/p3/tinySearch.txt
169,5889,0.10638117790222168,astar_multi,./maps_full/p3/mediumSearch.txt
28,371,0.009191513061523438,astar_multi,./maps_full/p3/p_tiny.txt
75,6080,0.038152456283569336,astar_multi,./maps_full/p3/mediumDottedMaze.txt
17,288,0.005319118499755859,astar_multi,./maps_full/p3/p_greedy.txt
2123,1062,0.006618022918701172,fast,./maps_full/p4/p_open.txt
455,228,0.001010894775390625,fast,./maps_full/p4/bigSearch.txt
691,346,0.0014913082122802734,fast,./maps_full/p4/p_big.txt
217,109,0.0004870891571044922,fast,./maps_full/p4/mediumSearch_prev.txt
211,106,0.000850677490234375,fast,./maps_full/p4/p_medium_prev.txt
103,52,0.00023055076599121094,fast,./maps_full/p4/oddSearch.txt
163,82,0.00036406517028808594,fast,./maps_full/p4/p_odd.txt
179,90,0.0003771781921386719,fast,./maps_full/p4/openSearch.txt
