Path Length,States Explored,Total Time,Method,Maze File
55,220,0.0026311874389648438,astar,./maps_full/p1/p_openMaze.txt
55,623,0.0011973381042480469,bfs,./maps_full/p1/p_openMaze.txt
33,60,0.0003848075866699219,astar,./maps_full/p1/p_mediumMaze.txt
33,98,0.00021028518676757812,bfs,./maps_full/p1/p_mediumMaze.txt
20,52,0.00035262107849121094,astar,./maps_full/p1/smallMaze.txt
20,90,0.0001785755157470703,bfs,./maps_full/p1/smallMaze.txt
69,221,0.001355886459350586,astar,./maps_full/p1/mediumMaze.txt
69,267,0.0005037784576416016,bfs,./maps_full/p1/mediumMaze.txt
9,14,0.00010371208190917969,astar,./maps_full/p1/tinyMaze.txt
9,14,4.3392181396484375e-05,bfs,./maps_full/p1/tinyMaze.txt
17,22,0.000171661376953125,astar,./maps_full/p1/p_smallMaze.txt
17,77,0.00015878677368164062,bfs,./maps_full/p1/p_smallMaze.txt
211,549,0.0034019947052001953,astar,./maps_full/p1/bigMaze.txt
211,616,0.0011875629425048828,bfs,./maps_full/p1/bigMaze.txt
95,217,0.0013580322265625,astar,./maps_full/p1/p_bigMaze.txt
95,228,0.00047397613525390625,bfs,./maps_full/p1/p_bigMaze.txt
7,7,7.081031799316406e-05,astar,./maps_full/p1/p_tinyMaze.txt
7,11,4.00543212890625e-05,bfs,./maps_full/p1/p_tinyMaze.txt
55,233,0.0024576187133789062,astar,./maps_full/p1/openMaze.txt
55,679,0.0014164447784423828,bfs,./maps_full/p1/openMaze.txt
193,4043,0.011518716812133789,astar_corner,./maps_full/p2/p_bigCorners.txt
29,140,0.0006463527679443359,astar_corner,./maps_full/p2/tinyCorners.txt
112,978,0.0037136077880859375,astar_corner,./maps_full/p2/p_mediumCorners.txt
107,966,0.003542184829711914,astar_corner,./maps_full/p2/mediumCorners.txt
163,2887,0.006841182708740234,astar_corner,./maps_full/p2/bigCorners.txt
27,130,0.000492095947265625,astar_corner,./maps_full/p2/p_tinyCorners.txt
39,793,0.006636142730712891,astar_multi,./maps_full/p3/p_small.txt
35,735,0.004756450653076172,astar_multi,./maps_full/p3/smallSearch.txt
79,8268,0.022200822830200195,astar_multi,./maps_full/p3/p_medium_dot.txt
185,10193,0.1253058910369873,astar_multi,./maps_full/p3/p_medium.txt
17,238,0.0013189315795898438,astar_multi,./maps_full/p3/greedySearch.txt
28,338,0.002488374710083008,astar_multi,./maps_full/p3/tinySearch.txt
169,5862,0.04088091850280762,astar_multi,./maps_full/p3/mediumSearch.txt
28,369,0.0031588077545166016,astar_multi,./maps_full/p3/p_tiny.txt
75,6080,0.014150381088256836,astar_multi,./maps_full/p3/mediumDottedMaze.txt
17,288,0.0018651485443115234,astar_multi,./maps_full/p3/p_greedy.txt
1073,1117,0.07368850708007812,fast,./maps_full/p4/p_open.txt
356,577,0.006256580352783203,fast,./maps_full/p4/bigSearch.txt
393,827,0.00821685791015625,fast,./maps_full/p4/p_big.txt
170,227,0.0020275115966796875,fast,./maps_full/p4/mediumSearch_prev.txt
197,262,0.002012491226196289,fast,./maps_full/p4/p_medium_prev.txt
64,69,0.0006167888641357422,fast,./maps_full/p4/oddSearch.txt
103,155,0.001210927963256836,fast,./maps_full/p4/p_odd.txt
99,126,0.0012805461883544922,fast,./maps_full/p4/openSearch.txt
