Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,60.009998,60.009998,60.009998,60.009998,43.618191,0
2008-01-03,58.889999,58.889999,58.889999,58.889999,42.804119,0
2008-01-04,59.009998,59.009998,59.009998,59.009998,42.891342,0
2008-01-07,56.389999,56.389999,56.389999,56.389999,40.987003,0
2008-01-08,56.980000,56.980000,56.980000,56.980000,41.415844,0
2008-01-09,58.200001,58.200001,58.200001,58.200001,42.302597,0
2008-01-10,57.650002,57.650002,57.650002,57.650002,41.902824,0
2008-01-11,57.470001,57.470001,57.470001,57.470001,41.771996,0
2008-01-14,58.459999,58.459999,58.459999,58.459999,42.491581,0
2008-01-15,60.270000,60.270000,60.270000,60.270000,43.807178,0
2008-01-16,58.310001,58.310001,58.310001,58.310001,42.382553,0
2008-01-17,57.900002,57.900002,57.900002,57.900002,42.084545,0
2008-01-18,58.340000,58.340000,58.340000,58.340000,42.404358,0
2008-01-21,57.669998,57.669998,57.669998,57.669998,41.917370,0
2008-01-22,53.919998,53.919998,53.919998,53.919998,39.191681,0
2008-01-23,53.450001,53.450001,53.450001,53.450001,38.850060,0
2008-01-24,54.529999,54.529999,54.529999,54.529999,39.635059,0
2008-01-25,56.160000,56.160000,56.160000,56.160000,40.819828,0
2008-01-28,54.279999,54.279999,54.279999,54.279999,39.453354,0
2008-01-29,55.209999,55.209999,55.209999,55.209999,40.129322,0
2008-01-30,54.970001,54.970001,54.970001,54.970001,39.954872,0
2008-01-31,55.099998,55.099998,55.099998,55.099998,40.049362,0
2008-02-01,56.029999,56.029999,56.029999,56.029999,40.725342,0
2008-02-12,54.950001,54.950001,54.950001,54.950001,39.940338,0
2008-02-13,55.139999,55.139999,55.139999,55.139999,40.078445,0
2008-02-14,57.529999,57.529999,57.529999,57.529999,41.815613,0
2008-02-15,57.459999,57.459999,57.459999,57.459999,41.764729,0
2008-02-18,57.189999,57.189999,57.189999,57.189999,41.568489,0
2008-02-19,58.060001,58.060001,58.060001,58.060001,42.200836,0
2008-02-20,57.169998,57.169998,57.169998,57.169998,41.553940,0
2008-02-21,58.549999,58.549999,58.549999,58.549999,42.556988,0
2008-02-22,58.759998,58.759998,58.759998,58.759998,42.709633,0
2008-02-25,60.049999,60.049999,60.049999,60.049999,43.647270,0
2008-02-26,60.419998,60.419998,60.419998,60.419998,43.916199,0
2008-02-27,61.360001,61.360001,61.360001,61.360001,44.599445,0
2008-02-29,60.470001,60.470001,60.470001,60.470001,43.952545,0
2008-03-03,59.189999,59.189999,59.189999,59.189999,43.022179,0
2008-03-04,60.700001,60.700001,60.700001,60.700001,44.119724,0
2008-03-05,60.759998,60.759998,60.759998,60.759998,44.163330,0
2008-03-06,62.389999,62.389999,62.389999,62.389999,45.348103,0
2008-03-07,61.430000,61.430000,61.430000,61.430000,44.650311,0
2008-03-10,59.520000,59.520000,59.520000,59.520000,43.262035,0
2008-03-11,60.070000,60.070000,60.070000,60.070000,43.661804,0
2008-03-12,60.549999,60.549999,60.549999,60.549999,44.010693,0
2008-03-13,59.000000,59.000000,59.000000,59.000000,42.884075,0
2008-03-14,58.560001,58.560001,58.560001,58.560001,42.564266,0
2008-03-17,57.310001,57.310001,57.310001,57.310001,41.655708,0
2008-03-18,57.580002,57.580002,57.580002,57.580002,41.851952,0
2008-03-19,58.730000,58.730000,58.730000,58.730000,42.687824,0
2008-03-20,59.790001,59.790001,59.790001,59.790001,43.458290,0
2008-03-21,61.430000,61.430000,61.430000,61.430000,44.650311,0
2008-03-24,63.880001,63.880001,63.880001,63.880001,46.431103,0
2008-03-25,63.349998,63.349998,63.349998,63.349998,46.045872,0
2008-03-26,63.009998,63.009998,63.009998,63.009998,45.798737,0
2008-03-27,61.400002,61.400002,61.400002,61.400002,44.628513,0
2008-03-28,61.230000,61.230000,61.230000,61.230000,44.504955,0
2008-03-31,60.820000,60.820000,60.820000,60.820000,44.206936,0
2008-04-01,59.860001,59.860001,59.860001,59.860001,43.509174,0
2008-04-02,61.480000,61.480000,61.480000,61.480000,44.686668,0
2008-04-03,61.410000,61.410000,61.410000,61.410000,44.635784,0
2008-04-07,62.209999,62.209999,62.209999,62.209999,45.217258,0
2008-04-08,61.799999,61.799999,61.799999,61.799999,44.919254,0
2008-04-09,61.630001,61.630001,61.630001,61.630001,44.795689,0
2008-04-10,62.860001,62.860001,62.860001,62.860001,45.689720,0
2008-04-11,63.650002,63.650002,63.650002,63.650002,46.263924,0
2008-04-14,63.220001,63.220001,63.220001,63.220001,45.951382,0
2008-04-15,63.270000,63.270000,63.270000,63.270000,45.987724,0
2008-04-16,64.309998,64.309998,64.309998,64.309998,46.743637,0
2008-04-17,64.750000,64.750000,64.750000,64.750000,47.063461,0
2008-04-18,64.419998,64.419998,64.419998,64.419998,46.823597,0
2008-04-21,64.730003,64.730003,64.730003,64.730003,47.048927,0
2008-04-22,64.230003,64.230003,64.230003,64.230003,46.685493,0
2008-04-23,63.610001,63.610001,63.610001,63.610001,46.234852,0
2008-04-24,63.400002,63.400002,63.400002,63.400002,46.082207,0
2008-04-25,63.320000,63.320000,63.320000,63.320000,46.024063,0
2008-04-28,64.669998,64.669998,64.669998,64.669998,47.005306,0
2008-04-29,63.220001,63.220001,63.220001,63.220001,45.951382,0
2008-04-30,63.560001,63.560001,63.560001,63.560001,46.198509,0
2008-05-02,63.880001,63.880001,63.880001,63.880001,46.431103,0
